,County,Confirmed Cases,Confirmed Deaths,As of
0,Adams,1.0,0.0,2020-03-19
1,Allegheny,16.0,0.0,2020-03-19
2,Armstrong,0.0,0.0,2020-03-19
3,Beaver,2.0,0.0,2020-03-19
4,Bedford,0.0,0.0,2020-03-19
5,Berks,1.0,0.0,2020-03-19
6,Blair,0.0,0.0,2020-03-19
7,Bradford,0.0,0.0,2020-03-19
8,Bucks,12.0,0.0,2020-03-19
9,Butler,0.0,0.0,2020-03-19
10,Cambria,0.0,0.0,2020-03-19
11,Cameron,0.0,0.0,2020-03-19
12,Carbon,0.0,0.0,2020-03-19
13,Centre,0.0,0.0,2020-03-19
14,Chester,10.0,0.0,2020-03-19
15,Clarion,0.0,0.0,2020-03-19
16,Clearfield,0.0,0.0,2020-03-19
17,Clinton,0.0,0.0,2020-03-19
18,Columbia,0.0,0.0,2020-03-19
19,Crawford,0.0,0.0,2020-03-19
20,Cumberland,11.0,0.0,2020-03-19
21,Dauphin,0.0,0.0,2020-03-19
22,Delaware,14.0,0.0,2020-03-19
23,Elk,0.0,0.0,2020-03-19
24,Erie,0.0,0.0,2020-03-19
25,Fayette,0.0,0.0,2020-03-19
26,Forest,0.0,0.0,2020-03-19
27,Franklin,0.0,0.0,2020-03-19
28,Fulton,0.0,0.0,2020-03-19
29,Greene,0.0,0.0,2020-03-19
30,Huntingdon,0.0,0.0,2020-03-19
31,Indiana,0.0,0.0,2020-03-19
32,Jefferson,0.0,0.0,2020-03-19
33,Juniata,0.0,0.0,2020-03-19
34,Lackawanna,2.0,0.0,2020-03-19
35,Lancaster,2.0,0.0,2020-03-19
36,Lawrence,0.0,0.0,2020-03-19
37,Lebanon,1.0,0.0,2020-03-19
38,Lehigh,1.0,0.0,2020-03-19
39,Luzerne,1.0,0.0,2020-03-19
40,Lycoming,0.0,0.0,2020-03-19
41,McKean,0.0,0.0,2020-03-19
42,Mercer,0.0,0.0,2020-03-19
43,Mifflin,0.0,0.0,2020-03-19
44,Monroe,15.0,0.0,2020-03-19
45,Montgomery,47.0,0.0,2020-03-19
46,Montour,0.0,0.0,2020-03-19
47,Northampton,5.0,1.0,2020-03-19
48,Northumberland,0.0,0.0,2020-03-19
49,Perry,0.0,0.0,2020-03-19
50,Philadelphia,33.0,0.0,2020-03-19
51,Pike,3.0,0.0,2020-03-19
52,Potter,0.0,0.0,2020-03-19
53,Schuylkill,0.0,0.0,2020-03-19
54,Snyder,0.0,0.0,2020-03-19
55,Somerset,0.0,0.0,2020-03-19
56,Sullivan,0.0,0.0,2020-03-19
57,Susquehanna,0.0,0.0,2020-03-19
58,Tioga,0.0,0.0,2020-03-19
59,Union,0.0,0.0,2020-03-19
60,Venango,0.0,0.0,2020-03-19
61,Warren,0.0,0.0,2020-03-19
62,Washington,3.0,0.0,2020-03-19
63,Wayne,1.0,0.0,2020-03-19
64,Westmoreland,2.0,0.0,2020-03-19
65,Wyoming,0.0,0.0,2020-03-19
66,York,2.0,0.0,2020-03-19
