,County,Cumulative Confirmed Cases,Cumulative Confirmed Deaths,As of
0,Adams,4.0,0.0,2020-03-22
1,Allegheny,31.0,1.0,2020-03-22
2,Armstrong,0.0,0.0,2020-03-22
3,Beaver,3.0,0.0,2020-03-22
4,Bedford,0.0,0.0,2020-03-22
5,Berks,7.0,0.0,2020-03-22
6,Blair,0.0,0.0,2020-03-22
7,Bradford,0.0,0.0,2020-03-22
8,Bucks,24.0,0.0,2020-03-22
9,Butler,1.0,0.0,2020-03-22
10,Cambria,0.0,0.0,2020-03-22
11,Cameron,0.0,0.0,2020-03-22
12,Carbon,0.0,0.0,2020-03-22
13,Centre,1.0,0.0,2020-03-22
14,Chester,19.0,0.0,2020-03-22
15,Clarion,0.0,0.0,2020-03-22
16,Clearfield,0.0,0.0,2020-03-22
17,Clinton,0.0,0.0,2020-03-22
18,Columbia,0.0,0.0,2020-03-22
19,Crawford,0.0,0.0,2020-03-22
20,Cumberland,11.0,0.0,2020-03-22
21,Dauphin,0.0,0.0,2020-03-22
22,Delaware,33.0,0.0,2020-03-22
23,Elk,0.0,0.0,2020-03-22
24,Erie,1.0,0.0,2020-03-22
25,Fayette,0.0,0.0,2020-03-22
26,Forest,0.0,0.0,2020-03-22
27,Franklin,1.0,0.0,2020-03-22
28,Fulton,0.0,0.0,2020-03-22
29,Greene,0.0,0.0,2020-03-22
30,Huntingdon,0.0,0.0,2020-03-22
31,Indiana,0.0,0.0,2020-03-22
32,Jefferson,0.0,0.0,2020-03-22
33,Juniata,0.0,0.0,2020-03-22
34,Lackawanna,5.0,0.0,2020-03-22
35,Lancaster,4.0,0.0,2020-03-22
36,Lawrence,0.0,0.0,2020-03-22
37,Lebanon,2.0,0.0,2020-03-22
38,Lehigh,13.0,0.0,2020-03-22
39,Luzerne,6.0,0.0,2020-03-22
40,Lycoming,0.0,0.0,2020-03-22
41,McKean,0.0,0.0,2020-03-22
42,Mercer,0.0,0.0,2020-03-22
43,Mifflin,0.0,0.0,2020-03-22
44,Monroe,25.0,0.0,2020-03-22
45,Montgomery,71.0,0.0,2020-03-22
46,Montour,1.0,0.0,2020-03-22
47,Northampton,17.0,1.0,2020-03-22
48,Northumberland,0.0,0.0,2020-03-22
49,Perry,0.0,0.0,2020-03-22
50,Philadelphia,69.0,0.0,2020-03-22
51,Pike,2.0,0.0,2020-03-22
52,Potter,1.0,0.0,2020-03-22
53,Schuylkill,0.0,0.0,2020-03-22
54,Snyder,0.0,0.0,2020-03-22
55,Somerset,0.0,0.0,2020-03-22
56,Sullivan,0.0,0.0,2020-03-22
57,Susquehanna,0.0,0.0,2020-03-22
58,Tioga,0.0,0.0,2020-03-22
59,Union,0.0,0.0,2020-03-22
60,Venango,0.0,0.0,2020-03-22
61,Warren,0.0,0.0,2020-03-22
62,Washington,5.0,0.0,2020-03-22
63,Wayne,1.0,0.0,2020-03-22
64,Westmoreland,4.0,0.0,2020-03-22
65,Wyoming,0.0,0.0,2020-03-22
66,York,9.0,0.0,2020-03-22
