,County,State,Cumulative Confirmed Cases,Cumulative Confirmed Deaths,As of
0,Adams,PA,85,1,4/20/2020
1,Allegheny,PA,1042,55,4/20/2020
2,Armstrong,PA,38,2,4/20/2020
3,Beaver,PA,298,36,4/20/2020
4,Bedford,PA,15,1,4/20/2020
5,Berks,PA,1945,74,4/20/2020
6,Blair,PA,14,0,4/20/2020
7,Bradford,PA,25,1,4/20/2020
8,Bucks,PA,1812,90,4/20/2020
9,Butler,PA,161,5,4/20/2020
10,Cambria,PA,19,1,4/20/2020
11,Cameron,PA,1,0,4/20/2020
12,Carbon,PA,144,9,4/20/2020
13,Centre,PA,73,1,4/20/2020
14,Chester,PA,883,44,4/20/2020
15,Clarion,PA,18,1,4/20/2020
16,Clearfield,PA,11,0,4/20/2020
17,Clinton,PA,11,0,4/20/2020
18,Columbia,PA,208,7,4/20/2020
19,Crawford,PA,16,0,4/20/2020
20,Cumberland,PA,186,4,4/20/2020
21,Dauphin,PA,386,9,4/20/2020
22,Delaware,PA,2484,99,4/20/2020
23,Elk,PA,2,0,4/20/2020
24,Erie,PA,60,0,4/20/2020
25,Fayette,PA,67,3,4/20/2020
26,Forest,PA,7,0,4/20/2020
27,Franklin,PA,115,0,4/20/2020
28,Fulton,PA,2,0,4/20/2020
29,Greene,PA,25,0,4/20/2020
30,Huntingdon,PA,13,0,4/20/2020
31,Indiana,PA,53,4,4/20/2020
32,Jefferson,PA,3,0,4/20/2020
33,Juniata,PA,72,0,4/20/2020
34,Lackawanna,PA,646,41,4/20/2020
35,Lancaster,PA,1236,66,4/20/2020
36,Lawrence,PA,59,5,4/20/2020
37,Lebanon,PA,502,5,4/20/2020
38,Lehigh,PA,2245,33,4/20/2020
39,Luzerne,PA,1767,36,4/20/2020
40,Lycoming,PA,40,0,4/20/2020
41,McKean,PA,4,0,4/20/2020
42,Mercer,PA,59,1,4/20/2020
43,Mifflin,PA,20,0,4/20/2020
44,Monroe,PA,970,39,4/20/2020
45,Montgomery,PA,3040,184,4/20/2020
46,Montour,PA,48,0,4/20/2020
47,Northampton,PA,1469,36,4/20/2020
48,Northumberland,PA,73,0,4/20/2020
49,Perry,PA,20,1,4/20/2020
50,Philadelphia,PA,9038,262,4/20/2020
51,Pike,PA,304,9,4/20/2020
52,Potter,PA,4,0,4/20/2020
53,Schuylkill,PA,267,5,4/20/2020
54,Snyder,PA,28,1,4/20/2020
55,Somerset,PA,19,0,4/20/2020
56,Sullivan,PA,1,0,4/20/2020
57,Susquehanna,PA,66,4,4/20/2020
58,Tioga,PA,14,1,4/20/2020
59,Union,PA,28,0,4/20/2020
60,Venango,PA,6,0,4/20/2020
61,Warren,PA,1,0,4/20/2020
62,Washington,PA,83,2,4/20/2020
63,Wayne,PA,85,3,4/20/2020
64,Westmoreland,PA,286,16,4/20/2020
65,Wyoming,PA,17,1,4/20/2020
66,York,PA,493,6,4/20/2020
