0,Adams,PA,91,2,2020-04-21
1,Allegheny,PA,1059,67,2020-04-21
2,Armstrong,PA,38,2,2020-04-21
3,Beaver,PA,303,43,2020-04-21
4,Bedford,PA,16,1,2020-04-21
5,Berks,PA,1988,82,2020-04-21
6,Blair,PA,14,0,2020-04-21
7,Bradford,PA,31,5,2020-04-21
8,Bucks,PA,1917,116,2020-04-21
9,Butler,PA,162,6,2020-04-21
10,Cambria,PA,20,2,2020-04-21
11,Cameron,PA,1,0,2020-04-21
12,Carbon,PA,150,11,2020-04-21
13,Centre,PA,77,2,2020-04-21
14,Chester,PA,919,65,2020-04-21
15,Clarion,PA,18,1,2020-04-21
16,Clearfield,PA,11,0,2020-04-21
17,Clinton,PA,11,0,2020-04-21
18,Columbia,PA,225,8,2020-04-21
19,Crawford,PA,17,0,2020-04-21
20,Cumberland,PA,194,6,2020-04-21
21,Dauphin,PA,400,11,2020-04-21
22,Delaware,PA,2654,118,2020-04-21
23,Elk,PA,2,0,2020-04-21
24,Erie,PA,60,0,2020-04-21
25,Fayette,PA,69,3,2020-04-21
26,Forest,PA,7,0,2020-04-21
27,Franklin,PA,143,10,2020-04-21
28,Fulton,PA,2,0,2020-04-21
29,Greene,PA,25,0,2020-04-21
30,Huntingdon,PA,13,0,2020-04-21
31,Indiana,PA,55,4,2020-04-21
32,Jefferson,PA,3,0,2020-04-21
33,Juniata,PA,72,0,2020-04-21
34,Lackawanna,PA,666,53,2020-04-21
35,Lancaster,PA,1295,88,2020-04-21
36,Lawrence,PA,60,6,2020-04-21
37,Lebanon,PA,525,8,2020-04-21
38,Lehigh,PA,2295,49,2020-04-21
39,Luzerne,PA,1800,50,2020-04-21
40,Lycoming,PA,42,2,2020-04-21
41,McKean,PA,5,0,2020-04-21
42,Mercer,PA,59,1,2020-04-21
43,Mifflin,PA,21,0,2020-04-21
44,Monroe,PA,995,46,2020-04-21
45,Montgomery,PA,3154,223,2020-04-21
46,Montour,PA,47,0,2020-04-21
47,Northampton,PA,1544,43,2020-04-21
48,Northumberland,PA,77,0,2020-04-21
49,Perry,PA,20,1,2020-04-21
50,Philadelphia,PA,9391,363,2020-04-21
51,Pike,PA,314,12,2020-04-21
52,Potter,PA,4,0,2020-04-21
53,Schuylkill,PA,277,7,2020-04-21
54,Snyder,PA,30,1,2020-04-21
55,Somerset,PA,19,0,2020-04-21
56,Sullivan,PA,1,0,2020-04-21
57,Susquehanna,PA,71,4,2020-04-21
58,Tioga,PA,15,2,2020-04-21
59,Union,PA,29,0,2020-04-21
60,Venango,PA,6,0,2020-04-21
61,Warren,PA,2,1,2020-04-21
62,Washington,PA,86,2,2020-04-21
63,Wayne,PA,86,3,2020-04-21
64,Westmoreland,PA,291,20,2020-04-21
65,Wyoming,PA,17,1,2020-04-21
66,York,PA,517,13,2020-04-21
